id,name,created_at,updated_at
1,"Swimming Pool (open)","2009-11-16 23:44:53","2012-04-18 16:26:03"
2,Grills,"2009-11-17 02:11:28","2009-11-17 02:11:28"
3,Parking,"2009-11-17 02:11:35","2009-11-17 02:11:35"
4,"Walking Path","2009-11-17 02:11:42","2009-11-17 02:11:42"
5,"Bike Trail","2009-11-17 02:11:51","2009-11-17 02:11:51"
6,"Picnic Shelter","2009-11-17 02:12:05","2009-11-17 02:12:05"
7,"Picnic Tables","2009-11-17 02:12:11","2009-11-17 02:12:11"
8,Playground,"2009-11-17 02:12:26","2009-11-17 02:12:26"
9,Restrooms,"2009-11-17 02:12:32","2009-11-17 02:12:32"
10,"Soccer Field","2009-11-17 02:12:37","2009-11-17 02:12:37"
11,"Ball Diamond","2009-11-17 02:12:44","2009-11-17 02:12:44"
12,"Basketball Court","2010-01-04 22:26:43","2010-01-04 22:26:43"
13,"Natural Area","2010-01-04 22:42:27","2010-01-04 22:42:27"
14,"Tennis Courts","2010-01-04 22:55:20","2010-01-04 22:55:20"
15,"Dog Park","2010-01-04 23:24:36","2010-01-04 23:24:36"
16,"Water Playground","2010-01-04 23:46:16","2010-01-04 23:46:16"
17,"Enclosed Shelterhouse","2010-01-05 04:00:01","2010-01-05 04:00:01"
18,"Disk Golf","2010-01-06 01:40:42","2010-01-06 01:40:42"
19,"Fitness Center","2011-10-10 13:39:02","2011-10-10 13:39:02"
20,"Mountain Bike Singletrack Trail","2012-04-03 15:37:16","2012-04-03 15:37:16"
21,"Wading Pool","2012-04-18 16:25:34","2012-04-18 16:25:34"
22,"Swimming Pool (closed)","2012-04-18 16:26:16","2012-04-18 16:26:16"
24,"Volleyball Court","2012-05-02 20:05:18","2012-05-02 20:05:18"
25,"Tree Maps","2012-07-25 15:16:21","2012-07-25 15:16:21"
26,"Pickleball Courts","2012-07-25 15:17:22","2012-07-25 15:17:22"
